Time;Frame;Speed;DistanceToOptimalPath;Position;Rotation;SteeringInput;UpcomingOperation;ThrottleInput;BrakeInput;TrackProgress
0;200;2,597883;1000;(0.007, 0.084, -51.879);(0.020, 0.064, 0.000);0;Left;0;2800;Unkown
0;201;2,593016;1000;(0.008, 0.084, -51.812);(0.019, 0.064, 0.000);0;Left;0;2800;Unkown
0;202;2,58817;1000;(0.008, 0.084, -51.751);(0.019, 0.064, 0.000);0;Left;0;2800;Unkown
0;203;2,578543;1000;(0.008, 0.084, -51.686);(0.019, 0.064, 0.000);0;Left;0;2800;Unkown
0;204;2,573761;1000;(0.008, 0.084, -51.627);(0.019, 0.064, 0.000);0;Left;0;2800;Unkown
0;205;2,568999;1000;(0.008, 0.084, -51.566);(0.019, 0.064, 0.000);0;Left;0;2800;Unkown
0;206;2,564258;1000;(0.008, 0.084, -51.505);(0.019, 0.064, 0.000);0;Left;0;2800;Unkown
0;207;2,554835;1000;(0.008, 0.084, -51.439);(0.019, 0.064, 0.000);0;Left;0;2800;Unkown
0;208;2,550152;1000;(0.008, 0.084, -51.374);(0.019, 0.064, 0.000);0;Left;0;2800;Unkown
0;209;2,545489;1000;(0.008, 0.084, -51.319);(0.019, 0.064, 0.000);0;Left;0;2800;Unkown
0;210;2,540844;1000;(0.008, 0.084, -51.262);(0.019, 0.064, 0.000);0;Left;0;2800;Unkown
0;211;2,536218;1000;(0.008, 0.084, -51.198);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;212;2,53161;1000;(0.008, 0.084, -51.142);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;213;2,522448;1000;(0.008, 0.084, -51.075);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;214;2,517893;1000;(0.008, 0.084, -51.011);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;215;2,513355;1000;(0.008, 0.084, -50.945);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;216;2,50433;1000;(0.009, 0.084, -50.874);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;217;2,499842;1000;(0.009, 0.084, -50.817);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;218;2,49537;1000;(0.009, 0.084, -50.766);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;219;2,490915;1000;(0.009, 0.084, -50.706);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;220;2,486475;1000;(0.009, 0.084, -50.646);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;221;2,48205;1000;(0.009, 0.084, -50.591);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;222;2,477641;1000;(0.009, 0.084, -50.538);(0.018, 0.064, 0.000);0;Left;0;2800;Unkown
0;223;2,468867;1000;(0.009, 0.084, -50.479);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
0;224;2,464502;1000;(0.009, 0.084, -50.420);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
0;225;2,460151;1000;(0.009, 0.084, -50.362);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
0;226;2,455815;1000;(0.009, 0.084, -50.303);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
0;227;2,451493;1000;(0.009, 0.084, -50.242);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
0;228;2,442889;1000;(0.009, 0.084, -50.186);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
0;229;2,438608;1000;(0.009, 0.084, -50.130);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
0;230;2,434339;1000;(0.009, 0.084, -50.077);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
0;231;2,430084;1000;(0.010, 0.084, -50.012);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
0;232;2,425842;1000;(0.010, 0.084, -49.950);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
0;233;2,417394;1000;(0.010, 0.084, -49.899);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
