Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2002599;1000010072501364607;63851478358894;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002619;1000010072601415804;63851478358995;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002639;1000010072701398905;63851478359094;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002659;1000010072801451361;63851478359193;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002679;1000010072901501879;63851478359293;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002699;1000010073001484404;63851478359394;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002719;1000010073101543060;63851478359496;(-0.498, 0.827, 0.227);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002739;1000010073201601147;63851478359594;(-0.498, 0.827, 0.227);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002759;1000010073301649705;63851478359692;(-0.498, 0.827, 0.227);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002779;1000010073401634452;63851478359793;(-0.498, 0.827, 0.227);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002799;1000010073501697286;63851478359895;(-0.498, 0.827, 0.227);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
